id,name,url,studio,category,episode_count,avg_rating,total_ratings,description
id1688425643,"Books, Beach, & Beyond",https://podcasts.apple.com/us/podcast/books-beach-beyond/id1688425643,"Elin Hilderbrand, Tim Talks Books, N Magazine",Arts,20 episodes,5.0,569 Ratings,"Join Elin Hilderbrand, #1 New York Times bestselling author of 30 titles and the “Queen of the Beach Reads,” and Tim Ehrenberg, creator of the popular Tim Talks Books, as they talk shop and host spirited discussions with special guests from bestselling and internationally recognized authors, to publishing industry insiders, to local island legends who feature prominently in Hilderbrand’s prolific Nantucket stories.  From what it’s like to take a book to the screen to the intricacies and intimate details of an author’s writing process, Hilderbrand and Ehrenberg take listeners on an exciting (and amusing) journey each episode, bringing books to life in a brand-new way in this podcast presented by N Magazine.  A special thank you to our Season 2 Premier Sponsors: Nantucket Book Partners, Book of the Month, The Nantucket Hotel, Cartolina, and Triple Eight Distillery."
id1424348845,The Laura Horn Art Podcast,https://podcasts.apple.com/us/podcast/the-laura-horn-art-podcast/id1424348845,Laura Horn,Arts,170 episodes,4.9,293 Ratings,"Known for their down-to-earth conversations, each week, artist Laura Horn and husband, Richie, share their experience of making art, running a business, and juggling family life.Join them as they talk about the hot topics facing artists today. From finding your style to navigating social media, this podcast is packed with relatable stories and practical strategies to help you grow as an artist."
id1281089527,The Great Books,https://podcasts.apple.com/us/podcast/the-great-books/id1281089527,National Review,Arts,13 episodes,4.6,1.4K Ratings,Hillsdale College’s John J. Miller discusses classic works within the Western literary canon.
id892536753,Radio Westeros ASOIAF Podcast,https://podcasts.apple.com/us/podcast/radio-westeros-asoiaf-podcast/id892536753,Radio Westeros,Arts,147 episodes,4.9,908 Ratings,"George RR Martin's A Song of Ice and Fire (ASoIaF) novels are our focus: Analysis and theories, readings, adverts from Westeros, music from the fandom, guests, and more, with your hosts yolkboy and Lady Gwynhyfvar. Radio Westeros is the only radio station this side of Asshai... Spoilers all books!Support: patreon.com/radiowesteros Hosted on Acast. See acast.com/privacy for more information."
id1350850605,Dressed: The History of Fashion,https://podcasts.apple.com/us/podcast/dressed-the-history-of-fashion/id1350850605,Dressed Media,Arts,502 episodes,4.5,1.4K Ratings,"With over 8 billion people in the world, we all have one thing in common. Every day we all get dressed. Join Dressed as we explore the social and cultural histories behind the who, what, when of why we wear."
id1713624140,Talk Shop with Ariel Okin: A Fenimore Lane Production,https://podcasts.apple.com/us/podcast/talk-shop-with-ariel-okin-a-fenimore-lane-production/id1713624140,Ariel Okin,Arts,23 episodes,4.5,25 Ratings,"Delve into the personal worlds of the top interior designers & tastemakers around the globe – interviewed by Ariel Okin, House Beautiful Next Wave Designer, Founder of Fenimore Lane, and Contributing Writer to Vogue, Architectural Digest, & Coveteur. These insightful conversations range from a designer’s favorite resources when sourcing for clients, to how creatives, shopkeepers, and artisans built their businesses, and more. Tune in each Wednesday as Ariel welcomes a new guest to discuss their career journey, design inspirations and even share a little advice for fellow design enthusiasts!"
id647720354,Book Riot - The Podcast,https://podcasts.apple.com/us/podcast/book-riot-the-podcast/id647720354,Book Riot,Arts,693 episodes,4.4,894 Ratings,"Book Riot - The Podcast is a weekly news and talk show about what's new, cool, and worth talking about in the world of books and reading, brought to you by the editors of BookRiot.com"
id1555774578,Harvey Brownstone Interviews..‪.‬,https://podcasts.apple.com/us/podcast/harvey-brownstone-interviews/id1555774578,Harvey Brownstone,Arts,398 episodes,5.0,6 Ratings,In-depth Interviews by Harvey Brownstone
id1586688442,Marvel's Wolverine: The Long Night,https://podcasts.apple.com/us/podcast/marvels-wolverine-the-long-night/id1586688442,Marvel,Arts,11 episodes,4.8,585 Ratings,"Special Agents Sally Pierce and Tad Marshall investigate a series of mysterious deaths in the seaside town of Burns, Alaska, following the arrival of a strange newcomer - a loner by the name Logan.Thanks for listening on Apple Podcasts!"
id214089682,Fresh Air,https://podcasts.apple.com/us/podcast/fresh-air/id214089682,Fresh Air,Arts,891 episodes,4.3,33.4K Ratings,"Fresh Air from WHYY, the Peabody Award-winning weekday magazine of contemporary arts and issues, is one of public radio's most popular programs. Hosted by Terry Gross, the show features intimate conversations with today's biggest luminaries.Subscribe to Fresh Air Plus! You'll enjoy bonus episodes and sponsor-free listening - all while you support NPR's mission. Learn more at plus.npr.org/freshair"
id1455169228,Articles of Interest,https://podcasts.apple.com/us/podcast/articles-of-interest/id1455169228,Radiotopia,Arts,41 episodes,4.9,3.2K Ratings,Articles of Interest is a show about what we wear.Produced and Hosted by Avery Trufelman
id1713169728,The Recipe with Kenji and Deb,https://podcasts.apple.com/us/podcast/the-recipe-with-kenji-and-deb/id1713169728,Radiotopia,Arts,14 episodes,4.7,300 Ratings,"Hi, we’re Deb Perelman (Smitten Kitchen) and J. Kenji López-Alt (Serious Eats, The Food Lab, The Wok). We’re professional home cooks, which means we can - and will - make the same meal 57 times in a row on the quest for the perfect recipe. Is it crazy? For us, no, because we do this for a living. But for you? Yes, probably. Which is why you should listen to The Recipe with Kenji and Deb. You'll hear us talk about what goes into writing our recipes — the techniques we test, the ingredients we taste — so that you can be on your way to creating your own perfect recipe. Whether you're cooking meatloaf, pancakes, or chicken soup in all its forms, we got you, and you've got this.The Recipe with Kenji and Deb is a proud member of Radiotopia from PRX, a network of independent and listener-supported podcasts. Discover audio with vision at radiotopia.fm."
id1550677342,Create Your Own Light,https://podcasts.apple.com/us/podcast/create-your-own-light/id1550677342,Podcast with Travis Howze,Arts,129 episodes,4.8,161 Ratings,"We all want to live a life we desire and deserve versus merely existing. Each week, join Travis Howze, U.S. Marine, former Police Officer and Firefighter, World Touring Stand Up Comedian, Motivational Speaker and Best Selling Author as he draws from a lifetime of experiences from unbelievably hysterical stories to unspeakable traumatic events and engages directly with his supporters and listeners, taking off-the-cuff questions and topic suggestions to produce a unique broadcast atmosphere, where you, the listener, has a say in the show. If you struggle with purpose, looking for inspiration, have a friend or loved one who could use support, or simply want to laugh and cry in your vehicle, couch, or go-to place, this podcast is a must for you!"
id1355215424,Hot and Bothered,https://podcasts.apple.com/us/podcast/hot-and-bothered/id1355215424,Not Sorry Productions,Arts,217 episodes,4.7,1K Ratings,"Hot and Bothered is all about the power of romance culture. We analyze romance novels and movies to better imagine our own happy endings. Episodes release weekly on Tuesdays.CURRENT SEASON: Hot and Bothered (Movie Edition)We make Hot and Bothered because we are interested in the way that love stories have impacted our lives and culture. For our fifth season of the show, we’re turning our attention to romantic films. Vanessa and Hannah McGregor dig into the canon of romantic films, from Titanic to Twilight to When Harry Met Sally, (just to name a few). Every other week they do a close scene analysis of how each movie ends, always asking the question ‘what does this movie believe about love?’SEASON 4: Live from PemberleyIn Live from Pemberley, we continue our deep-dive into the classic texts of romance literature. This season we take a close look at the most famous Romance novel of all time: Jane Austen’s Pride and Prejudice. Every episode, Vanessa Zoltan and Lauren Sandler read through the book, talk with experts, and ask themselves the question ‘is this still a story for our time?’SEASON 3: On EyreVanessa Zoltan and journalist Lauren Sandler embark on the English class you always deserved, diving deep into Jane Eyre through the themes of power and desire. Discussions range from ideas of class and colonialism to sex and gender as Lauren and Vanessa explore the roles of oppression and inequality, empowerment and rebellion in the text. Major “Eyreheads” and first-time readers alike are invited into Lauren and Vanessa’s conversation as they grapple with this complicated work—and as they try to figure out if Jane Eyre is a book they want to pass on to their daughters, and to future generations.SEASON 2: Twilight in QuarantineYou may remember BFFs Vanessa & Julia from their all-star advice giving in Hot and Bothered Season 1. In this season they’re sheltering in place in different cities, but they’re getting on the phone three times a week to read and talk about Twilight. On Twilight in Quarantine, they work their way through the Twilight saga one chapter at a time, giving brilliant well-informed advice to Stephenie Meyer’s characters along the way. Advice like: “have you considered talking to each other about your feelings?” and “maybe you shouldn’t kidnap people.”SEASON 1: Writing RomanceSeason one of Hot and Bothered follows ten first-time romance writers as they try to write their own romance novels. Each episode explores a particular romance trope and why we love it so much. Along the way, Julia Quinn, writer of the Bridgerton series, gives weekly assignments so listeners can follow along in the process. Season one was made in collaboration with Spoke Media.Hot & Bothered is produced by Not Sorry Productions, a feminist organization that produces podcasts, educational content, live shows, and immersive experiences with the explicit goal of addressing the spiritual needs of its participants. Through community, rigor, and ritual, we treat traditionally secular things as if they were sacred. To learn more about what we do, visit https://notsorryworks.com/ Hosted on Acast. See acast.com/privacy for more information."
